common_name,scientific_name,moisture_needs,moisture_needs,sunlight_needs,sunlight_needs,hardiness_zones,hardiness_zones,img,key,uses,source
Shore Juniper,Juniperus rigida subsp. conferta,"{50,60}","Dry Mesic, Dry",{10},Full Sun,{50},5a (-20°F to -15°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Rocky Mountain Juniper,Juniperus scopulorum,"{50,60}","Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Juniper,Juniperus scopulorum First Editions® Sky High,"{50,60}","Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Flaky Juniper,Juniperus squamata,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Eastern Red Cedar,Juniperus virginiana,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
